,,,trial,trial,trial,trial,trial,trial,trial,trial,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,taste_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,corr_sw_compute_0.7,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1039332.557490729,1398487.824704127,133646.40058731695,544845.2294178606,682279.0208132608,833535.2231451939,4934406.409131999,10.0,5.801424263286439,0.4356785883678797,5.125957266675672,5.7360882708945455,5.829461985519191,5.920922782776522,6.693234916125484,10.0,2.1267307112110942,0.4267121803847528,1.7465760476621182,1.8778064389444173,2.017240902503742,2.1684318084277288,3.2196784442513793,10.0,33.44687281940854,9.44023047089026,22.06734069084589,28.516179510746767,29.694349586068228,39.316319036805595,48.69675251658628
5000,current_lognormal,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,816790061.7305181,1418998237.8707852,667417.7323328977,12785327.23455529,346962355.7614058,666083969.077592,4629543125.010934,10.0,7.984380971367524,1.3138730867647326,5.824397741054202,6.984191351032443,8.493313499586947,8.823479890349471,9.665538133981887,10.0,4.427099619294928,1.6074345022844037,2.246790091812644,3.4453156528281115,3.751770956586552,5.91301253111277,6.978305848598661,10.0,4.638226317107687,1.767238444286495,2.594552721404015,3.491578151773641,4.118154655807313,5.285937015673151,8.659643233600653
5000,current_lognormal,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,5.821167345266232e+21,1.8130046443947727e+22,2131952961198781.5,1.2257967105543638e+16,3.5573994266246656e+17,5.720727403476645e+18,5.7415424505044105e+22,10.0,17.932541846320714,2.4046712114730764,15.328777618310834,16.060536142678306,17.43909727324869,18.753156972465874,22.75902858016002,10.0,6.10817064015412,1.820888884227159,3.4598916608699315,5.548222125956197,5.989096587339156,6.582221775751638,10.366329284376981,10.0,5.76837297973278,1.493963114611993,3.522694651473101,4.722396191216777,5.432592342564945,6.701700433712439,8.204696109024992
5000,power_law_sw,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2974594271.7530217,8291135790.175812,49108.869941945275,4701601.571014551,23927599.699691057,593255878.4757414,26480352317.43022,10.0,7.553756677831153,1.703236396604391,4.691159940573794,6.669165107646587,7.369583248304755,8.692120186937775,10.4229237590342,10.0,5.195333601864167,3.2282399388109937,3.3376246942920385,3.785515249258629,3.8198720589408675,5.142162173025866,14.07464663339843,10.0,4.653316625084979,1.6557265374567975,2.8902639100224503,3.68518476672594,4.192906253111961,5.285937015673151,8.204696109024992
5000,power_law_sw,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,5.48626032929148e+18,1.0411365373668342e+19,20521644134517.16,221091518245849.3,8115679388598286.0,4.4408056178785864e+18,3.2403595579941773e+19,10.0,16.34718278085216,2.412405762234286,13.312212152246026,14.343602978932179,15.841925477985239,18.647211793530342,19.510593203227867,10.0,7.514782445892962,3.1606075837222374,4.78285814165379,5.210945334831465,5.950601128099638,9.390930691079038,14.5902421563056,10.0,6.815890443660256,2.112140510090369,4.067944321083047,5.804856888864116,6.503274970070225,7.201699749131755,11.139738599948021
5000,zero_runtime,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,819550625.0425712,2458592269.6838636,1297773.8573084488,5906396.55753982,11401529.911047582,43238527.74610832,7813315078.662395,10.0,7.346517817888531,1.1373468115953684,6.11319902137071,6.771042830227552,7.045648903331427,7.6358693064572005,9.89283533796187,10.0,98.21718891880373,1.4979556132593925e-14,98.21718891880374,98.21718891880374,98.21718891880374,98.21718891880374,98.21718891880374,10.0,4.687042383142919,1.7651631655929545,2.689598785575043,3.081513229326282,4.620560032134859,5.908775791006756,7.773650302387754
5000,zero_runtime,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.5701615052346114e+23,3.419480960915008e+23,1420922334874690.0,3.308544322992467e+18,1.303452959319885e+19,1.607511580815304e+23,1.0866570867345086e+24,10.0,19.778388999567255,3.0835845785126743,15.1525703408007,18.51764934194493,19.01390006091264,22.692481047912857,24.036092516639677,10.0,98.21718891880373,1.4979556132593925e-14,98.21718891880374,98.21718891880374,98.21718891880374,98.21718891880374,98.21718891880374,10.0,5.214983331990945,1.0968034807359555,3.8542288686231054,4.450794062355996,4.841892604585471,6.381103212416916,6.611690262414814
50000,budget_0.1,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,311.3386962116858,364.95806386491773,53.274374404089365,182.30653530788757,311.3386962116858,440.370857115484,569.4030180192822,2.0,2.2409690616274918,0.727543161482387,1.7265183585373964,1.983743710082444,2.2409690616274918,2.498194413172539,2.755419764717587,2.0,18.288237079320332,9.532389466149821,11.547819846894582,14.918028463107458,18.288237079320332,21.65844569553321,25.028654311746084,2.0,15.407601232849393,14.902877841883784,4.869675251658628,10.138638242254011,15.407601232849393,20.676564223444775,25.94552721404016
50000,budget_0.1,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,22510852.069890387,25467986.28962584,4502266.261329937,13506559.165610164,22510852.069890387,31515144.974170614,40519437.87845084,2.0,7.130547293575824,0.6747440852365812,6.653431175339524,6.891989234457673,7.130547293575824,7.369105352693975,7.6076634118121245,2.0,7.535653568061651,2.9853519824941666,5.424690937011323,6.480172252536487,7.535653568061651,8.591134883586816,9.64661619911198,2.0,7.323123007445886,2.1124216314307267,5.829415347136069,6.576269177290977,7.323123007445886,8.069976837600795,8.816830667755703
50000,budget_10,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1.2887743235802453e+82,1.822602126998953e+82,1.742603301711073e+72,6.443871618772528e+81,1.2887743235802453e+82,1.9331614852832377e+82,2.5775486469862302e+82,2.0,77.32620270159141,7.191281860572569,72.24119853255674,74.78370061707408,77.32620270159141,79.86870478610875,82.41120687062609,2.0,4.908334313695289,0.8694925858017005,4.293510210083481,4.6009222618893855,4.908334313695289,5.215746365501193,5.523158417307098,2.0,5.055418543759716,0.3854586172240633,4.782858141653791,4.919138342706754,5.055418543759716,5.191698744812678,5.327978945865641
