,,,trial,trial,trial,trial,trial,trial,trial,trial,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,corr_all_0.7,instant_time,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,247955.63990422353,333775.6312042122,5135.077086939631,18856.32628988225,99918.56472989026,372466.78924389876,921452.5356434541,10.0,4.8616864948689065,0.8289532450567909,3.710546967540156,4.275350367031596,4.995469433221183,5.522034636563869,5.964472969463904,10.0,0.39778072014491184,0.1194364086772866,0.21673921695684178,0.3016054228918754,0.41048644177237265,0.4909013859150091,0.5623413251903491,10.0,2.770906077920867,0.9806506602930775,1.7782794100389228,2.05207347260689,2.4363311450884177,3.4142363557295075,4.6138396827332135,10.0,0.4203125,0.14343262065048756,0.25,0.31054687499999994,0.3867187499999999,0.52734375,0.6640625
5000,corr_all_0.9,default,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,19.997612296238422,8.51487724873185,9.026159625711589,11.580023976424576,21.690418947551187,25.960508779477312,31.852460503240696,10.0,1.2601742127697428,0.2057378999971025,0.9555030096575056,1.0596526887793039,1.3359682306295657,1.4130730175259516,1.5031429858615333,10.0,0.5998084066197326,0.11652607749043473,0.41417845143644055,0.5210945334831467,0.6046875356852466,0.6923241545543135,0.7635060803383346,10.0,1.7286827291254163,0.35751743447530665,1.3097472643005899,1.447568208461625,1.6558882203154104,1.9200857942937541,2.4144182212566387,10.0,0.2296875,0.0872454133624099,0.11718750000000003,0.16015624999999997,0.21874999999999997,0.28320312499999994,0.3828124999999999
5000,corr_all_0.9,infinite_compute,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,72.89445262384147,20.685255217428338,41.758509574924076,61.63471832295436,69.26097528906556,82.87417323443509,111.93928384226159,10.0,1.8470011473255454,0.12372041021346968,1.620744989636512,1.7896286869466298,1.8402832786838719,1.9173376476060195,2.0489825240791184,10.0,0.5557577287954951,0.06336644161242268,0.437144481261109,0.5166838891827379,0.5777451615747227,0.5908775791006758,0.6378043838892178,10.0,1.8225388664097124,0.22727327415706924,1.5678788438269704,1.6925006336625987,1.7310069720024985,1.9383571446695345,2.2875732003183957,10.0,0.2578125,0.05182226234930311,0.1953125,0.22851562499999997,0.23828125,0.28710937499999994,0.359375
5000,corr_all_0.9,instant_time,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,61.09050871608524,19.71400022185191,26.4593994937314,49.78894693118773,62.9210825049188,71.53796584097641,94.3515276461245,10.0,1.7622492689566944,0.15882982238883003,1.4225799834826909,1.6971315205970516,1.7986004006803027,1.8545144734779837,1.9747489362223194,10.0,0.5218967197920967,0.09503034361422631,0.2942727176209282,0.509429707420434,0.5473924677159212,0.5725487884358379,0.6152654101490372,10.0,2.000495655079725,0.5264521272246664,1.6253148373118644,1.7465760476621182,1.826990617718116,1.963455827655364,3.398208328942559,10.0,0.290625,0.09467139806251465,0.2109375,0.2421875,0.26171875,0.29296874999999994,0.5312499999999999
5000,corr_sw_compute_0.7,default,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,447.3873675345265,375.68748449029493,71.95029305786424,190.1879380661086,302.27795044225286,676.64442930092,1245.2395134358912,10.0,2.511577951956195,0.3766445933789529,1.8570325671837307,2.2750372316088745,2.478184077350739,2.8140813156308124,3.0952528930857275,10.0,0.3835094142695813,0.07611292447777833,0.2788126665413133,0.3459891660869932,0.3619189448516574,0.3980464906790904,0.5232991146814947,10.0,2.692960709322755,0.48912016813998366,1.9109529749704404,2.5160827480839085,2.7632731498387466,2.8902639100224503,3.586637624484769,10.0,0.4234375,0.08225210019270701,0.28124999999999994,0.40039062499999994,0.4414062499999999,0.4609375,0.5546875
5000,corr_sw_compute_0.7,infinite_compute,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,4.904219997168719e+22,1.550466826005511e+23,1035767190495576.2,1.051407578710085e+17,3.5629066572296525e+17,3.0696751461672985e+19,4.9031279131424294e+23,10.0,18.211353498304263,2.4771138094018994,15.015262149960112,17.02133039225523,17.491480005731415,19.475029805860004,23.690473223298653,10.0,0.18520383118556014,0.056853175543611995,0.11970850304957299,0.1395032313077666,0.1827581851807571,0.21327887955560526,0.31059002236247046,10.0,5.818625406170268,1.587489201780855,3.2196784442513793,4.70693551490435,5.4756960988845655,7.170032682674724,8.353625469578262,10.0,0.74921875,0.1254035369996153,0.5078125,0.671875,0.73828125,0.8554687499999999,0.921875
5000,corr_sw_compute_0.7,instant_time,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,79120.90590699695,123404.91010273248,3180.4801726296814,14497.723788627925,35911.05677977959,81342.12508615038,415880.1662850632,10.0,4.518689999209879,0.6277648606696413,3.5024926924941076,4.153399319862966,4.513229732999914,4.910092613833354,5.618968208947894,10.0,0.37897410803299925,0.09442240071417331,0.24582440689201976,0.31277807186215484,0.3684883968231426,0.44239369792056876,0.5424690937011326,10.0,2.79178539342967,0.7029298859822343,1.8434229924091103,2.274182307527317,2.714009209919702,3.2129025119087173,4.067944321083047,10.0,0.43359375,0.10895566938266683,0.26562499999999994,0.35546875,0.43359374999999994,0.505859375,0.609375
5000,current_lognormal,default,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,12881290844.462494,36445936681.7655,6785620.327333092,91833412.48678035,543844340.5017197,2909554790.3438826,116442800207.07681,10.0,8.721627151816781,1.232994328114737,6.8315895561111795,7.962363834168161,8.732021439488651,9.423863304258413,11.066112640771058,10.0,0.34098735811356073,0.0784492481010315,0.23290965924605464,0.2864733767621387,0.3192010687509082,0.40433974385826427,0.47828581416537913,10.0,3.070126345366199,0.6789419575561165,2.090800041278718,2.48821427043593,3.135103167259202,3.4915730708404653,4.293510210083481,10.0,0.47734375,0.09816361258159481,0.32031249999999994,0.39453124999999994,0.49609374999999994,0.5429687499999999,0.6328124999999999
5000,current_lognormal,infinite_compute,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,3.0151217461329845e+22,9.43496893683328e+22,1643255785654823.5,4.538706228650911e+17,1.954027303321695e+19,8.889352271245131e+20,2.986700986827161e+23,10.0,19.158061314007757,2.3561302425184976,15.215705170040213,17.627435649738516,19.112071469627793,20.69949148228318,23.47519174544604,10.0,0.19230936538069565,0.06168054193637149,0.06853895838650086,0.16035754823770226,0.20921533621493743,0.2330213796517389,0.27384196342643613,10.0,6.0702315625418155,3.267952465303626,3.651741272548377,4.295619685114571,4.785953962208934,6.2907624332775205,14.5902421563056,10.0,0.74375,0.17905610687637047,0.5625,0.6328124999999999,0.6796875,0.7968749999999999,1.1640624999999998
5000,current_lognormal,instant_time,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.6615033843621704e+20,3.710927818947823e+20,4.916809746776654e+16,7.387477431078922e+16,1.1615983879384824e+18,1.869773329793115e+19,1.1229204535770179e+21,10.0,18.27741592675374,1.67806139165005,16.691683403831423,16.86602370141565,17.717724916679572,19.254808299969433,21.050348992418048,10.0,0.18091036855988862,0.060584962734043096,0.10554496008786035,0.1388645336353386,0.1778279410038923,0.21327887955560526,0.31059002236247046,10.0,6.0700120902202395,1.9086571558521201,3.2196784442513793,4.70693551490435,5.62341325190349,7.201699749131755,9.47463525655375,10.0,0.76328125,0.14043438083738805,0.5078125,0.671875,0.75,0.8574218749999999,0.9765624999999998
