n_experiments,setting,trial,taste_level,scenario_type,multiplier,baseline_improvement,baseline_log10_improvement,baseline_num_experiments,speedup
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,6195816.626641617,6.792098555759835,7,0.009999999999999995
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,6195816.626641617,6.792098555759835,7,0.9821718891880378
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,6195816.626641617,6.792098555759835,7,4.067944321083047
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,6195816.626641617,6.792098555759835,7,4.450794062355996
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,6195816.626641617,6.792098555759835,7,98.21718891880374
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,6195816.626641617,6.792098555759835,7,0.9821718891880378
5000,current_lognormal,7,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,6195816.626641617,6.792098555759835,7,0.010181517217181814
5000,current_lognormal,8,Optimal from all ideas (100% visibility),compute_multiplier,0.01,8.3668713555405e+19,19.9225630915615,20,0.009999999999999995
5000,current_lognormal,8,Optimal from all ideas (100% visibility),compute_multiplier,1.0,8.3668713555405e+19,19.9225630915615,20,0.9646616199111991
5000,current_lognormal,8,Optimal from all ideas (100% visibility),compute_multiplier,100.0,8.3668713555405e+19,19.9225630915615,20,4.293510210083481
5000,current_lognormal,8,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,8.3668713555405e+19,19.9225630915615,20,4.6138396827332135
5000,current_lognormal,8,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,8.3668713555405e+19,19.9225630915615,20,96.4661619911198
5000,current_lognormal,8,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,8.3668713555405e+19,19.9225630915615,20,0.9646616199111991
5000,current_lognormal,8,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,8.3668713555405e+19,19.9225630915615,20,0.011547819846894581
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,385988.9984004062,5.586574926428008,9,0.009999999999999995
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,385988.9984004062,5.586574926428008,9,0.8505258154439962
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,385988.9984004062,5.586574926428008,9,11.139738599948021
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,385988.9984004062,5.586574926428008,9,11.139738599948021
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,385988.9984004062,5.586574926428008,9,85.05258154439956
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,385988.9984004062,5.586574926428008,9,0.8505258154439962
5000,current_lognormal,8,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,385988.9984004062,5.586574926428008,9,0.010181517217181814
5000,current_lognormal,9,Optimal from all ideas (100% visibility),compute_multiplier,0.01,2.0742408708530904e+16,16.316859187351128,17,0.009999999999999995
5000,current_lognormal,9,Optimal from all ideas (100% visibility),compute_multiplier,1.0,2.0742408708530904e+16,16.316859187351128,17,0.9139816994654906
5000,current_lognormal,9,Optimal from all ideas (100% visibility),compute_multiplier,100.0,2.0742408708530904e+16,16.316859187351128,17,6.73170382414498
5000,current_lognormal,9,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,2.0742408708530904e+16,16.316859187351128,17,6.978305848598661
5000,current_lognormal,9,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,2.0742408708530904e+16,16.316859187351128,17,91.39816994654896
5000,current_lognormal,9,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,2.0742408708530904e+16,16.316859187351128,17,0.9139816994654906
5000,current_lognormal,9,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,2.0742408708530904e+16,16.316859187351128,17,0.009999999999999995
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,10025780.06909906,7.0011181734643175,9,0.009999999999999995
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,10025780.06909906,7.0011181734643175,9,0.8976871324473142
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,10025780.06909906,7.0011181734643175,9,3.522694651473101
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,10025780.06909906,7.0011181734643175,9,3.4598916608699315
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,10025780.06909906,7.0011181734643175,9,89.76871324473134
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,10025780.06909906,7.0011181734643175,9,0.8976871324473142
5000,current_lognormal,9,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,10025780.06909906,7.0011181734643175,9,0.009999999999999995
