p_H,p_AI,a,b,c,r_squared,t50_t80_ratio,sigmoid_L,sigmoid_k,sigmoid_x0,overall_ai_win,score
0.9,0.92,0.05,0.75,1.3,0.9885362778005223,2.141103832275862,91.2273779720889,-5.355562197771442,0.9611755375211655,29.26,0.569339359786529
0.9,0.99,0.1,0.3,1.3,0.9131389470919542,2.2849134293316524,99.99999999999999,-3.862945707664965,0.7243900072007887,27.089999999999996,0.5555949292487814
0.9,0.95,0.1,0.3,1.3,0.9386360115570516,2.1904017461959135,99.9999999999998,-4.0710647969659695,0.6471893348497253,24.42,0.551283015843813
0.9,0.92,0.1,0.75,1.2,0.9828393476303984,2.076778341032944,96.26221948636851,-4.7748321386887,0.8186834567737773,27.05,0.5510681476439799
0.9,0.99,0.02,0.5,1.3,0.9787492840557152,2.082244429593924,93.37464224455427,-5.169086872565645,1.8957095406917432,58.36,0.5500612339363695
0.9,0.99,0.05,0.75,1.1,0.9821966986109356,2.0709884924709963,94.40233637738756,-5.047494964414062,1.7795758571839464,55.45,0.5493367760706924
0.9,0.92,0.1,0.3,1.3,0.9513421229672967,2.1201719167526276,99.99999999999906,-4.24760175154012,0.5991071478854445,22.759999999999998,0.5432445432259663
0.9,0.95,0.1,0.75,1.2,0.9739743501646331,2.046639366488848,99.99999999999999,-4.456945932429909,0.8686776386004429,29.56,0.5389785113105338
0.9,0.95,0.05,0.75,1.3,0.9832114272676209,2.007032224148037,96.26055550813328,-5.009186117227628,1.0109590812697011,32.22,0.5344831771469917
0.9,0.99,0.1,0.75,1.2,0.9576144491435632,2.0377897100004168,99.99999999999999,-4.484076882356467,0.9772095526752287,33.29,0.5278504107930636
0.9,0.99,0.02,0.75,1.3,0.9805918826049305,1.984476105700914,96.54849514772168,-5.053667010358574,1.5328592791189333,48.47,0.5275177580231614
0.9,0.99,0.05,0.75,1.2,0.9757558823123651,1.994389507620584,98.6963463896904,-4.7606137255425,1.3024653507620951,42.19,0.5273473055571559
0.9,0.99,0.05,0.5,1.1,0.9795415403132602,1.9725257438525863,93.07291042093736,-5.634670927545902,2.176311568477233,66.9,0.5239944394576
0.9,0.95,0.1,0.5,1.3,0.96135213274099,1.9809498660434823,99.99999999999999,-4.669646948385888,0.7601474688852292,27.0,0.5163126917797549
