time,cumulative_progress,automation_fraction,progress_rate,software_progress_rate,coding_labor,research_stock,research_effort,experiment_capacity,human_only_progress_rate,ai_labor_contribution,human_labor_contribution,ai_software_progress_multiplier
2013.4,2.5467442809790493,2.3472032888579587e-05,1.8147004736161065,1.1607739096561063,19.303991004221402,0.18421528855535205,0.1509062289431833,0.15090622894317351,1.8146784604042332,0.005735815252041476,19.29825518896936,1.0000509336231307
2013.5,2.7281848611028314,2.555489971144549e-05,1.8140276840827705,1.1599226075827704,19.817210938150783,0.19992014571711542,0.16365128907467125,0.16365128907466064,1.8140052526116879,0.005938048247941197,19.811272889902842,1.0000513639392097
2013.6,2.90955998868319,2.7821738493409915e-05,1.813362685687696,1.1590790966476963,20.344075425936442,0.21694027751247447,0.177454543239826,0.1774545432398145,1.8133398792792859,0.006146961681309904,20.337928464255132,1.0000517941001887
2013.7,3.0908608153811876,3.028859637238893e-05,1.8126058293160443,1.1581437277360442,20.88494722099948,0.23540382914298533,0.19240211427753207,0.1924021142775196,1.8125826932043045,0.00636276477312947,20.87858445622635,1.0000522240850789
2013.8,3.2720784928566475,3.297289079296873e-05,1.8117281267562884,1.1570875126362885,21.44019872075239,0.25543894581007665,0.20858697104455876,0.20858697104454524,1.8117047068278231,0.006585672998191683,21.4336130477542,1.0000526538728987
2013.9,3.453204172771044,3.589352284641354e-05,1.8107523256812836,1.1559331990212836,22.01021222299284,0.2771737727153527,0.2261094575179818,0.22610945751796716,1.8107286674727425,0.006815908263956061,22.003396314728885,1.0000530834426589
2014.0,3.634229006784203,3.907099955992844e-05,1.8097374746229171,1.1547398354229172,22.5953801890943,0.30073645506022717,0.245077861417982,0.2450778614179661,1.8097136225408401,0.007053699094303312,22.588326489999996,1.0000535127733776
2014.1,3.81512210045987,4.252712647931276e-05,1.8083920338364283,1.1536384444564283,23.19610550637837,0.326311654861228,0.2656661143336694,0.26566611433365217,1.8083673505122686,0.007299273741928403,23.18880623263644,1.0000539417917802
2014.2,3.995895981819227,4.6286375631104465e-05,1.8071687096703908,1.152659170110391,23.812801788358062,0.3539860555094434,0.28795254529932574,0.2879525452993071,1.8071432784221477,0.007552881014547097,23.805248907343515,1.0000543705275804
2014.3,4.1765611494849475,5.0375347854545066e-05,1.8060432559974133,1.1517777662574131,24.44589364376926,0.3839329517039293,0.3120742505652705,0.31207425056525023,1.806017160438741,0.007814776950592517,24.438078866818667,1.0000547990056767
2014.4,4.357109477207022,5.482252339640849e-05,1.804871122699993,1.1508496827799932,25.095816963819072,0.416384280425401,0.3381791167322097,0.33817911673218776,1.8048444494691904,0.008085219218301631,25.08773174460077,1.000055227206796
2014.5,4.537532838733797,5.9658784408055996e-05,1.8035877121964077,1.1498103220964078,25.763019228096095,0.45157197865428933,0.36642664455791785,0.3664266445578941,1.8035605493789983,0.00836447315193567,25.75465475494416,1.0000556551116664
2014.6,4.71782310781485,6.491761060148757e-05,1.8021880896837228,1.1486547494037225,26.447959812657164,0.4897279833712431,0.3969888333633894,0.39698883336336366,1.802160525545917,0.008652811970666363,26.439307000686497,1.0000560827010119
2014.7,4.8979721581997575,7.063529006845953e-05,1.8007103821945338,1.147421091734534,27.151110306289368,0.5310842315569383,0.4300511302976971,0.4300511302976692,1.800682504185295,0.008950517003267322,27.1421597892861,1.0000565099555627
2014.8,5.077971863636869,7.685114635412584e-05,1.799222281753464,1.146177041113464,27.872954835179325,0.5758726601917654,0.46581344900009203,0.46581344900006183,1.7991941757381915,0.009257877919175428,27.86369695726015,1.000056936856044
2014.9,5.257789462885685,8.360681788019372e-05,1.7975363943848932,1.1447352035648934,28.613990386475603,0.6244745625583469,0.5044912624845804,0.5044912624845477,1.7975081507631927,0.00957518321163775,28.604415203263965,1.0000573633247574
2015.0,5.437472120615231,9.095055317276343e-05,1.7960935838954986,1.1435364428954986,29.37472719164559,0.6769563542945246,0.5463167754758637,0.5463167754758282,1.7960652822871253,0.009902761645587788,29.364824430000002,1.0000577894735596
2015.1,5.617015511240879,9.893282298311942e-05,1.7947017233915226,1.1420641302615226,30.15568902796,0.7337269167385567,0.5913693348866399,0.5913693348866016,1.7946729120459601,0.010240931921131846,30.14544809603887,1.0000582152921946
2015.2,5.796414958813292,0.00010760832992993224,1.793265251146103,1.140547205886103,30.957413595944672,0.7951970890395643,0.6400617936803744,0.6400617936803329,1.793235935787164,0.01059002213765936,30.946823573807013,1.0000586407695702
2015.3,5.97566578738191,0.00011703636882309287,1.7917475528611786,1.1389490554711788,31.78045289201899,0.861777710346244,0.6926812204932544,0.6926812204932095,1.7917177402008946,0.010950370206316506,31.769502521812672,1.0000590658945963
2015.4,6.154763320997803,0.000127281201861406,1.790160876448352,1.137281926928352,32.62537358779229,0.9338796198078763,0.7495366842614267,0.7495366842613781,1.7901305729590928,0.01132232413426948,32.61405126365802,1.0000594906561835
2015.5,6.333702883710412,0.00013841246338904675,1.7885521001752573,1.1355926985252573,33.492757420192454,1.0119136565731097,0.8109608829431765,0.8109608829431239,1.7885213111353329,0.011706242317110593,33.481051177875344,1.0000599150432412
2015.6,6.512473249068116,0.00015050513451173153,1.7868634128717698,1.1338235590917698,34.38320158887835,1.09641427108408,0.8773118877890451,0.8773118877889883,1.786832145164659,0.012102490723037818,34.37109909815531,1.0000603390291443
2015.7,6.6910742968333325,0.00016364116594614687,1.7852409302333636,1.1321206243233635,35.29731917560723,1.187758689944876,0.9489750109527679,0.9489750109527064,1.7852091867462758,0.012511451411633345,35.284807724195595,1.0000607626136062
2015.8,6.869522999188838,0.00017791082077157777,1.7837797203794254,1.1305789623394256,36.23573957002259,1.2863732295346564,1.026364804673185,1.0263648046731184,1.7837475011555068,0.012933526552238561,36.22280604347035,1.0000611858368793
2015.9,7.047824276251627,0.0001934112239746105,1.7823287635121283,1.1290475533421283,37.19910888913683,1.3929912966691878,1.1099272007631449,1.109927200763073,1.7822960726932555,0.01336912490341291,37.18573976423342,1.000061608710633
2016.0,7.225983048137071,0.0002102477975236126,1.7808125751208412,1.1274509128208412,38.18809042776924,1.508346298163301,1.2001417997889285,1.2001417997888508,1.7807794190184043,0.013818667769236015,38.17427176,1.0000620312465351
2016.1,7.404004234961757,0.0002285349699627583,1.7795833966187211,1.1258755943787215,39.203365115313844,1.6331716408325425,1.297645582960042,1.2976455829599578,1.77954890154982,0.01428258938143756,39.189082525932406,1.000062453456254
2016.2,7.581892756842274,0.0002483969469548247,1.7782927410321274,1.1242387988521272,40.24574506147653,1.7682007314925468,1.4028912060674237,1.4028912060673326,1.778256823936177,0.014874414360058097,40.230870647116475,1.0000643328845227
2016.3,7.759653533893994,0.0002699685480366083,1.7769960554055149,1.1225959732855149,41.31748301332043,1.9141669769580139,1.516481642390157,1.5164816423900587,1.77695515260121,0.017129733707285766,41.30035327961314,1.0000718780081164
2016.4,7.937272657683792,0.00029339352740982553,1.7755551643658003,1.1208089423058,42.417752322133616,2.072183753507604,1.6390556885662073,1.639055688566101,1.7755094095565505,0.01948567802832457,42.39826664410529,1.0000794171591443
2016.5,8.114763491530304,0.0003188313246534259,1.7742957108790005,1.1192033488790005,43.54731376718177,2.2425923561918375,1.771304378871627,1.7713043788715122,1.7742452223089988,0.021947234496678902,43.52536653268509,1.0000869509047279
2016.6,8.29213090981632,0.0003464539040926936,1.7731146610375095,1.1176761590975097,44.70694815468195,2.4265280650802628,1.9139701646894045,1.9139701646892804,1.7730595568925143,0.024519325531407787,44.682428829150545,1.0000944794516815
2016.7,8.469374903194826,0.0003764470356041031,1.771899600261326,1.116114958381326,45.89745690476731,2.6252844697182662,2.0678505885550877,2.0678505885549536,1.771840001332393,0.027206861658534365,45.870250043108776,1.000102002799524
2016.8,8.646495462317597,0.00040901211098067907,1.7706018320416517,1.114471050221652,47.11966267045478,2.840155159649864,2.2338022079120985,2.2338022079119537,1.7705378603936457,0.030014812178407624,47.08964785827637,1.0001095209477748
2016.9,8.823492577838024,0.00044436744063508103,1.7692202633343734,1.112743341574373,48.37440991899094,3.0724337244209563,2.4127447841988157,2.4127447841986593,1.769152040554744,0.03294822360749805,48.341461695383444,1.0001170338959562
2017.0,9.000366240407887,0.0004827496561220571,1.7677882088556625,1.1109651471556625,49.66256552618852,3.323413753575407,2.6056657542225166,2.605665754222348,1.7677158540748006,0.036012236188526,49.62655329,1.0001245416435876
